2019-09-07 21:32:06,653 [main] INFO  ? (?:?) - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2019-09-07 21:32:07,462 [localhost-startStop-1] INFO  com.alibaba.dubbo.config.ReferenceConfig (ReferenceConfig.java:425) -  [DUBBO] Refer dubbo service com.alibaba.dubbo.registry.RegistryService from url zookeeper://127.0.0.1:2181/com.alibaba.dubbo.registry.RegistryService?application=dubbo-admin&dubbo=2.6.2&pid=136440&refer=application%3Ddubbo-admin%26check%3Dfalse%26dubbo%3D2.6.2%26interface%3Dcom.alibaba.dubbo.registry.RegistryService%26methods%3Dlookup%2Csubscribe%2Cunsubscribe%2Cunregister%2Cregister%26pid%3D136440%26register.ip%3D192.168.3.15%26revision%3D2.6.2%26side%3Dconsumer%26timestamp%3D1567863127362&timestamp=1567863127393, dubbo version: 2.6.2, current host: 192.168.3.15
2019-09-07 21:32:07,518 [localhost-startStop-1] INFO  com.alibaba.dubboadmin.governance.sync.RegistryServerSync (RegistryServerSync.java:78) -  [DUBBO] Init Dubbo Admin Sync Cache..., dubbo version: 2.6.2, current host: 192.168.3.15
2019-09-07 21:32:07,519 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.3.15?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=*&version=*, dubbo version: 2.6.2, current host: 192.168.3.15
2019-09-07 21:32:07,574 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.3.15/com.mytest.leozeng.sbdubbointerface.service.RemoteService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.mytest.leozeng.sbdubbointerface.service.RemoteService&version=*, dubbo version: 2.6.2, current host: 192.168.3.15
2019-09-07 21:32:07,725 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.3.15/com.mytest.leozeng.sbdubbointerface.service.RemoteService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.mytest.leozeng.sbdubbointerface.service.RemoteService&version=*, urls: [dubbo://192.168.3.15:20880/com.mytest.leozeng.sbdubbointerface.service.RemoteService?anyhost=true&application=user-service-provider&dubbo=2.6.0&generic=false&interface=com.mytest.leozeng.sbdubbointerface.service.RemoteService&methods=sayHello&pid=136224&revision=1.0.0&side=provider&timeout=10000&timestamp=1567861580845&version=1.0.0, consumer://192.168.3.15/com.mytest.leozeng.sbdubbointerface.service.RemoteService?application=user-service-consumer&category=consumers&check=false&dubbo=2.6.0&interface=com.mytest.leozeng.sbdubbointerface.service.RemoteService&methods=sayHello&pid=135336&revision=1.0.0&side=consumer&timestamp=1567861894159&version=1.0.0, empty://192.168.3.15/com.mytest.leozeng.sbdubbointerface.service.RemoteService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.mytest.leozeng.sbdubbointerface.service.RemoteService&version=*, empty://192.168.3.15/com.mytest.leozeng.sbdubbointerface.service.RemoteService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.mytest.leozeng.sbdubbointerface.service.RemoteService&version=*], dubbo version: 2.6.2, current host: 192.168.3.15
2019-09-07 21:32:07,725 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.3.15/com.alibaba.dubbo.monitor.MonitorService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.monitor.MonitorService&version=*, dubbo version: 2.6.2, current host: 192.168.3.15
2019-09-07 21:32:07,841 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.3.15/com.alibaba.dubbo.monitor.MonitorService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.monitor.MonitorService&version=*, urls: [empty://192.168.3.15/com.alibaba.dubbo.monitor.MonitorService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.monitor.MonitorService&version=*, consumer:///com.alibaba.dubbo.monitor.MonitorService?category=consumers&check=false&dubbo=2.6.0&interface=com.alibaba.dubbo.monitor.MonitorService&pid=136224&timestamp=1567861580899, consumer:///com.alibaba.dubbo.monitor.MonitorService?category=consumers&check=false&dubbo=2.6.0&interface=com.alibaba.dubbo.monitor.MonitorService&pid=135336&timestamp=1567861894177, empty://192.168.3.15/com.alibaba.dubbo.monitor.MonitorService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.monitor.MonitorService&version=*, empty://192.168.3.15/com.alibaba.dubbo.monitor.MonitorService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.monitor.MonitorService&version=*], dubbo version: 2.6.2, current host: 192.168.3.15
2019-09-07 21:32:08,538 [main] INFO  com.alibaba.dubboadmin.SpringUtil (SpringUtil.java:33) -  [DUBBO] set applicationcontext, dubbo version: 2.6.2, current host: 192.168.3.15
2019-09-07 21:32:29,490 [http-nio-7001-exec-1] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /, dubbo version: 2.6.2, current host: 192.168.3.15
2019-09-07 21:32:42,849 [http-nio-7001-exec-2] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /, dubbo version: 2.6.2, current host: 192.168.3.15
